Errors,"Suggested Fixes",Description,"System ID",UPC,EAN,"Custom SKU","Manufacturer SKU",Vendor,"Vendor ID",Brand,"Default Cost","Default - Price","MSRP - Price","Online - Price","Matrix Description","Matrix Attribute Set","Attribute 1","Attribute 2","Attribute 3",Discountable,Taxable,"Tax Class","Item Type","Publish To eCom",Serialized,Category,"Subcategory 1","Subcategory 2","Subcategory 3","Subcategory 4","Clear Existing Tags","Add Tags",Note,"Display Note",Archive,"Featured Image",Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,"Shop Quantity on Hand","Shop Unit Cost","Shop Reorder Point","Shop Reorder Level"
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2034.83,9008415923939,95030099,44200-3002,"Boards & More",,Duotone,1343.30,2034.83,2034.83,2034.83,"2020 Duotone DICE",Color/Size,White,10,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2127.93,9008415923984,95030099,44200-3002,"Boards & More",,Duotone,1404.48,2127.93,2127.93,2127.93,"2020 Duotone DICE",Color/Size,White,11,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2221.03,9008415923991,95030099,44200-3002,"Boards & More",,Duotone,1465.66,2221.03,2221.03,2221.03,"2020 Duotone DICE",Color/Size,White,12,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2327.43,9008415923977,95030099,44200-3002,"Boards & More",,Duotone,1536.15,2327.43,2327.43,2327.43,"2020 Duotone DICE",Color/Size,White,13,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1755.53,9008415924981,95030099,44200-3001,"Boards & More",,Duotone,1158.43,1755.53,1755.53,1755.53,"2020 Duotone VEGAS",Color/Size,Yellow,6,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1861.93,9008415924998,95030099,44200-3001,"Boards & More",,Duotone,1228.92,1861.93,1861.93,1861.93,"2020 Duotone VEGAS",Color/Size,Yellow,7,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1968.33,9008415924943,95030099,44200-3001,"Boards & More",,Duotone,1299.41,1968.33,1968.33,1968.33,"2020 Duotone VEGAS",Color/Size,Yellow,8,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2061.43,9008415924929,95030099,44200-3001,"Boards & More",,Duotone,1360.59,2061.43,2061.43,2061.43,"2020 Duotone VEGAS",Color/Size,Yellow,9,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2154.53,9008415924912,95030099,44200-3001,"Boards & More",,Duotone,1421.77,2154.53,2154.53,2154.53,"2020 Duotone VEGAS",Color/Size,Yellow,10,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2247.63,9008415924967,95030099,44200-3001,"Boards & More",,Duotone,1482.95,2247.63,2247.63,2247.63,"2020 Duotone VEGAS",Color/Size,Yellow,11,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2340.73,9008415924974,95030099,44200-3001,"Boards & More",,Duotone,1545.46,2340.73,2340.73,2340.73,"2020 Duotone VEGAS",Color/Size,Yellow,12,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2447.13,9008415924950,95030099,44200-3001,"Boards & More",,Duotone,1614.62,2447.13,2447.13,2447.13,"2020 Duotone VEGAS",Color/Size,Yellow,13,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2606.73,9008415924936,95030099,44200-3001,"Boards & More",,Duotone,1721.02,2606.73,2606.73,2606.73,"2020 Duotone VEGAS",Color/Size,Yellow,14.5,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1755.53,9008415924981,95030099,44200-3001,"Boards & More",,Duotone,1158.43,1755.53,1755.53,1755.53,"2020 Duotone VEGAS",Color/Size,White,6,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1861.93,9008415924998,95030099,44200-3001,"Boards & More",,Duotone,1228.92,1861.93,1861.93,1861.93,"2020 Duotone VEGAS",Color/Size,White,7,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1968.33,9008415924943,95030099,44200-3001,"Boards & More",,Duotone,1299.41,1968.33,1968.33,1968.33,"2020 Duotone VEGAS",Color/Size,White,8,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2061.43,9008415924929,95030099,44200-3001,"Boards & More",,Duotone,1360.59,2061.43,2061.43,2061.43,"2020 Duotone VEGAS",Color/Size,White,9,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2154.53,9008415924912,95030099,44200-3001,"Boards & More",,Duotone,1421.77,2154.53,2154.53,2154.53,"2020 Duotone VEGAS",Color/Size,White,10,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2247.63,9008415924967,95030099,44200-3001,"Boards & More",,Duotone,1482.95,2247.63,2247.63,2247.63,"2020 Duotone VEGAS",Color/Size,White,11,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2340.73,9008415924974,95030099,44200-3001,"Boards & More",,Duotone,1545.46,2340.73,2340.73,2340.73,"2020 Duotone VEGAS",Color/Size,White,12,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2447.13,9008415924950,95030099,44200-3001,"Boards & More",,Duotone,1614.62,2447.13,2447.13,2447.13,"2020 Duotone VEGAS",Color/Size,White,13,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2606.73,9008415924936,95030099,44200-3001,"Boards & More",,Duotone,1721.02,2606.73,2606.73,2606.73,"2020 Duotone VEGAS",Color/Size,White,14.5,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1755.53,9008415924806,95030099,44200-3006,"Boards & More",,Duotone,1158.43,1755.53,1755.53,1755.53,"2020 Duotone Vegas Hadlow",Color/Size,Blue,6,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1861.93,9008415924813,95030099,44200-3006,"Boards & More",,Duotone,1228.92,1861.93,1861.93,1861.93,"2020 Duotone Vegas Hadlow",Color/Size,Blue,7,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1968.33,9008415924769,95030099,44200-3006,"Boards & More",,Duotone,1299.41,1968.33,1968.33,1968.33,"2020 Duotone Vegas Hadlow",Color/Size,Blue,8,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2061.43,9008415924745,95030099,44200-3006,"Boards & More",,Duotone,1360.59,2061.43,2061.43,2061.43,"2020 Duotone Vegas Hadlow",Color/Size,Blue,9,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2154.53,9008415924738,95030099,44200-3006,"Boards & More",,Duotone,1421.77,2154.53,2154.53,2154.53,"2020 Duotone Vegas Hadlow",Color/Size,Blue,10,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2247.63,9008415924783,95030099,44200-3006,"Boards & More",,Duotone,1482.95,2247.63,2247.63,2247.63,"2020 Duotone Vegas Hadlow",Color/Size,Blue,11,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2340.73,9008415924790,95030099,44200-3006,"Boards & More",,Duotone,1545.46,2340.73,2340.73,2340.73,"2020 Duotone Vegas Hadlow",Color/Size,Blue,12,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2447.13,9008415924776,95030099,44200-3006,"Boards & More",,Duotone,1614.62,2447.13,2447.13,2447.13,"2020 Duotone Vegas Hadlow",Color/Size,Blue,13,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2606.73,9008415924752,95030099,44200-3006,"Boards & More",,Duotone,1721.02,2606.73,2606.73,2606.73,"2020 Duotone Vegas Hadlow",Color/Size,Blue,14.5,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Wakestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1369.83,9008415925247,95030099,44200-3004,"Boards & More",,Duotone,904.40,1369.83,1369.83,1369.83,"2020 Duotone NEO",Color/Size,Green,3,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1462.93,9008415925278,95030099,44200-3004,"Boards & More",,Duotone,965.58,1462.93,1462.93,1462.93,"2020 Duotone NEO",Color/Size,Green,4,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1556.03,9008415925216,95030099,44200-3004,"Boards & More",,Duotone,1026.76,1556.03,1556.03,1556.03,"2020 Duotone NEO",Color/Size,Green,5,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1649.13,9008415925254,95030099,44200-3004,"Boards & More",,Duotone,1087.94,1649.13,1649.13,1649.13,"2020 Duotone NEO",Color/Size,Green,6,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1742.23,9008415925261,95030099,44200-3004,"Boards & More",,Duotone,1150.45,1742.23,1742.23,1742.23,"2020 Duotone NEO",Color/Size,Green,7,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1835.33,9008415925209,95030099,44200-3004,"Boards & More",,Duotone,1211.63,1835.33,1835.33,1835.33,"2020 Duotone NEO",Color/Size,Green,8,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1941.73,9008415925193,95030099,44200-3004,"Boards & More",,Duotone,1282.12,1941.73,1941.73,1941.73,"2020 Duotone NEO",Color/Size,Green,9,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2034.83,9008415925186,95030099,44200-3004,"Boards & More",,Duotone,1343.30,2034.83,2034.83,2034.83,"2020 Duotone NEO",Color/Size,Green,10,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2127.93,9008415925223,95030099,44200-3004,"Boards & More",,Duotone,1404.48,2127.93,2127.93,2127.93,"2020 Duotone NEO",Color/Size,Green,11,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2221.03,9008415925230,95030099,44200-3004,"Boards & More",,Duotone,1465.66,2221.03,2221.03,2221.03,"2020 Duotone NEO",Color/Size,Green,12,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1369.83,9008415925247,95030099,44200-3004,"Boards & More",,Duotone,904.40,1369.83,1369.83,1369.83,"2020 Duotone NEO",Color/Size,White,3,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1462.93,9008415925278,95030099,44200-3004,"Boards & More",,Duotone,965.58,1462.93,1462.93,1462.93,"2020 Duotone NEO",Color/Size,White,4,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1556.03,9008415925216,95030099,44200-3004,"Boards & More",,Duotone,1026.76,1556.03,1556.03,1556.03,"2020 Duotone NEO",Color/Size,White,5,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1649.13,9008415925254,95030099,44200-3004,"Boards & More",,Duotone,1087.94,1649.13,1649.13,1649.13,"2020 Duotone NEO",Color/Size,White,6,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1742.23,9008415925261,95030099,44200-3004,"Boards & More",,Duotone,1150.45,1742.23,1742.23,1742.23,"2020 Duotone NEO",Color/Size,White,7,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1835.33,9008415925209,95030099,44200-3004,"Boards & More",,Duotone,1211.63,1835.33,1835.33,1835.33,"2020 Duotone NEO",Color/Size,White,8,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1941.73,9008415925193,95030099,44200-3004,"Boards & More",,Duotone,1282.12,1941.73,1941.73,1941.73,"2020 Duotone NEO",Color/Size,White,9,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2034.83,9008415925186,95030099,44200-3004,"Boards & More",,Duotone,1343.30,2034.83,2034.83,2034.83,"2020 Duotone NEO",Color/Size,White,10,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2127.93,9008415925223,95030099,44200-3004,"Boards & More",,Duotone,1404.48,2127.93,2127.93,2127.93,"2020 Duotone NEO",Color/Size,White,11,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2221.03,9008415925230,95030099,44200-3004,"Boards & More",,Duotone,1465.66,2221.03,2221.03,2221.03,"2020 Duotone NEO",Color/Size,White,12,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1369.83,9008415925247,95030099,44200-3004,"Boards & More",,Duotone,904.40,1369.83,1369.83,1369.83,"2020 Duotone NEO",Color/Size,Red,3,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1462.93,9008415925278,95030099,44200-3004,"Boards & More",,Duotone,965.58,1462.93,1462.93,1462.93,"2020 Duotone NEO",Color/Size,Red,4,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1556.03,9008415925216,95030099,44200-3004,"Boards & More",,Duotone,1026.76,1556.03,1556.03,1556.03,"2020 Duotone NEO",Color/Size,Red,5,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1649.13,9008415925254,95030099,44200-3004,"Boards & More",,Duotone,1087.94,1649.13,1649.13,1649.13,"2020 Duotone NEO",Color/Size,Red,6,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1742.23,9008415925261,95030099,44200-3004,"Boards & More",,Duotone,1150.45,1742.23,1742.23,1742.23,"2020 Duotone NEO",Color/Size,Red,7,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1835.33,9008415925209,95030099,44200-3004,"Boards & More",,Duotone,1211.63,1835.33,1835.33,1835.33,"2020 Duotone NEO",Color/Size,Red,8,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1941.73,9008415925193,95030099,44200-3004,"Boards & More",,Duotone,1282.12,1941.73,1941.73,1941.73,"2020 Duotone NEO",Color/Size,Red,9,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2034.83,9008415925186,95030099,44200-3004,"Boards & More",,Duotone,1343.30,2034.83,2034.83,2034.83,"2020 Duotone NEO",Color/Size,Red,10,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2127.93,9008415925223,95030099,44200-3004,"Boards & More",,Duotone,1404.48,2127.93,2127.93,2127.93,"2020 Duotone NEO",Color/Size,Red,11,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2221.03,9008415925230,95030099,44200-3004,"Boards & More",,Duotone,1465.66,2221.03,2221.03,2221.03,"2020 Duotone NEO",Color/Size,Red,12,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Vague,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1462.93,9008415936472,95030099,44200-3003,"Boards & More",,Duotone,965.58,1462.93,1462.93,1462.93,"2020 Duotone EVO",Color/Size,Blue,4,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freeride,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
