Errors,"Suggested Fixes",Description,"System ID",UPC,EAN,"Custom SKU","Manufacturer SKU",Vendor,"Vendor ID",Brand,"Default Cost","Default - Price","MSRP - Price","Online - Price","Matrix Description","Matrix Attribute Set","Attribute 1","Attribute 2","Attribute 3",Discountable,Taxable,"Tax Class","Item Type","Publish To eCom",Serialized,Category,"Subcategory 1","Subcategory 2","Subcategory 3","Subcategory 4","Clear Existing Tags","Add Tags",Note,"Display Note",Archive,"Featured Image",Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,"Shop Quantity on Hand","Shop Unit Cost","Shop Reorder Point","Shop Reorder Level"
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1742.23,9008415924011,95030099,44200-3002,"Boards & More",,Duotone,1150.45,1742.23,1742.23,1742.23,"2020 Duotone DICE",Color/Size,Green,7,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1835.33,9008415923953,95030099,44200-3002,"Boards & More",,Duotone,1211.63,1835.33,1835.33,1835.33,"2020 Duotone DICE",Color/Size,Green,8,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1941.73,9008415923946,95030099,44200-3002,"Boards & More",,Duotone,1282.12,1941.73,1941.73,1941.73,"2020 Duotone DICE",Color/Size,Green,9,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2034.83,9008415923939,95030099,44200-3002,"Boards & More",,Duotone,1343.30,2034.83,2034.83,2034.83,"2020 Duotone DICE",Color/Size,Green,10,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2127.93,9008415923984,95030099,44200-3002,"Boards & More",,Duotone,1404.48,2127.93,2127.93,2127.93,"2020 Duotone DICE",Color/Size,Green,11,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2221.03,9008415923991,95030099,44200-3002,"Boards & More",,Duotone,1465.66,2221.03,2221.03,2221.03,"2020 Duotone DICE",Color/Size,Green,12,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2327.43,9008415923977,95030099,44200-3002,"Boards & More",,Duotone,1536.15,2327.43,2327.43,2327.43,"2020 Duotone DICE",Color/Size,Green,13,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1556.03,9008415923960,95030099,44200-3002,"Boards & More",,Duotone,1026.76,1556.03,1556.03,1556.03,"2020 Duotone DICE",Color/Size,Yellow,5,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1649.13,9008415924004,95030099,44200-3002,"Boards & More",,Duotone,1087.94,1649.13,1649.13,1649.13,"2020 Duotone DICE",Color/Size,Yellow,6,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1742.23,9008415924011,95030099,44200-3002,"Boards & More",,Duotone,1150.45,1742.23,1742.23,1742.23,"2020 Duotone DICE",Color/Size,Yellow,7,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1835.33,9008415923953,95030099,44200-3002,"Boards & More",,Duotone,1211.63,1835.33,1835.33,1835.33,"2020 Duotone DICE",Color/Size,Yellow,8,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1941.73,9008415923946,95030099,44200-3002,"Boards & More",,Duotone,1282.12,1941.73,1941.73,1941.73,"2020 Duotone DICE",Color/Size,Yellow,9,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2034.83,9008415923939,95030099,44200-3002,"Boards & More",,Duotone,1343.30,2034.83,2034.83,2034.83,"2020 Duotone DICE",Color/Size,Yellow,10,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2127.93,9008415923984,95030099,44200-3002,"Boards & More",,Duotone,1404.48,2127.93,2127.93,2127.93,"2020 Duotone DICE",Color/Size,Yellow,11,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2221.03,9008415923991,95030099,44200-3002,"Boards & More",,Duotone,1465.66,2221.03,2221.03,2221.03,"2020 Duotone DICE",Color/Size,Yellow,12,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,2327.43,9008415923977,95030099,44200-3002,"Boards & More",,Duotone,1536.15,2327.43,2327.43,2327.43,"2020 Duotone DICE",Color/Size,Yellow,13,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1556.03,9008415923960,95030099,44200-3002,"Boards & More",,Duotone,1026.76,1556.03,1556.03,1556.03,"2020 Duotone DICE",Color/Size,White,5,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1649.13,9008415924004,95030099,44200-3002,"Boards & More",,Duotone,1087.94,1649.13,1649.13,1649.13,"2020 Duotone DICE",Color/Size,White,6,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1742.23,9008415924011,95030099,44200-3002,"Boards & More",,Duotone,1150.45,1742.23,1742.23,1742.23,"2020 Duotone DICE",Color/Size,White,7,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1835.33,9008415923953,95030099,44200-3002,"Boards & More",,Duotone,1211.63,1835.33,1835.33,1835.33,"2020 Duotone DICE",Color/Size,White,8,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
"UPC value is not supported.","UPC must contain 7 to 8 or 11 to 18 digits.",,,1941.73,9008415923946,95030099,44200-3002,"Boards & More",,Duotone,1282.12,1941.73,1941.73,1941.73,"2020 Duotone DICE",Color/Size,White,9,,Yes,Yes,Item,,Yes,Yes,Kitesurf,Kite,Freestyle,,,,"Duotone, 2020, kiteboards, Neo, Evo, Rebel, Dice, Surf, CSC,",,,No,,,,,,,,,,,,,,,,
